"filename", "language", "Dart", "comment", "blank", "total"
"/Users/philippmeyer/Documents/VSCodeProjects/app/open_earable/lib/apps_tab/parcour/gap.dart", "Dart", 21, 3, 5, 29
"/Users/philippmeyer/Documents/VSCodeProjects/app/open_earable/lib/apps_tab/parcour/level.dart", "Dart", 126, 7, 6, 139
"/Users/philippmeyer/Documents/VSCodeProjects/app/open_earable/lib/apps_tab/parcour/obstacle.dart", "Dart", 21, 3, 5, 29
"/Users/philippmeyer/Documents/VSCodeProjects/app/open_earable/lib/apps_tab/parcour/parcour.dart", "Dart", 15, -6, 2, 11
"/Users/philippmeyer/Documents/VSCodeProjects/app/open_earable/lib/apps_tab/parcour/parcour_chart.dart", "Dart", -587, -61, -116, -764
"/Users/philippmeyer/Documents/VSCodeProjects/app/open_earable/lib/apps_tab/parcour/parcour_painter.dart", "Dart", 84, 7, 16, 107
"/Users/philippmeyer/Documents/VSCodeProjects/app/open_earable/lib/apps_tab/parcour/parcour_ui.dart", "Dart", 428, 54, 80, 562
"/Users/philippmeyer/Documents/VSCodeProjects/app/open_earable/lib/apps_tab/parcour/platform.dart", "Dart", 21, 2, 5, 28
"/Users/philippmeyer/Documents/VSCodeProjects/app/open_earable/lib/apps_tab/parcour/player.dart", "Dart", 108, 12, 27, 147
"/Users/philippmeyer/Documents/VSCodeProjects/app/open_earable/lib/apps_tab/parcour/scenario.dart", "Dart", 12, 1, 3, 16
"Total", "-", 249, 22, 33, 304
